BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2001 08 11 00 2001 08 13 23 27.50   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 08 13 23 2001 08 18 00 27.00   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 08 18 00 2001 08 21 07 27.00   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 08 21 07 2001 08 24 23 27.30   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 08 24 23 2001 08 28 00 27.40   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 08 28 00 2001 09 01 00 27.50   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 01 00 2001 09 03 23 27.50   2.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 03 23 2001 09 08 00 27.60   2.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 08 00 2001 09 10 23 27.60   2.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 10 23 2001 09 14 23 26.90   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 14 23 2001 09 18 00 26.90   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 18 00 2001 09 21 23 26.90   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 21 23 2001 09 24 23 27.00   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 24 23 2001 09 28 23 27.00   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 09 28 23 2001 10 01 23 26.60   1.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 01 23 2001 10 06 00 26.90   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 06 00 2001 10 08 23 27.40   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 08 23 2001 10 12 23 26.60   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 12 23 2001 10 16 00 27.00   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 16 00 2001 10 19 23 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 19 23 2001 10 22 22 26.70   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 22 22 2001 10 26 23 26.70   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 10 26 23 2001 10 29 23 26.60   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 05 11 2001 11 05 23 26.70   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 05 23 2001 11 09 23 26.20   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 09 23 2001 11 13 00 26.70   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 13 00 2001 11 16 23 26.80   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 16 23 2001 11 19 23 26.60   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 19 23 2001 11 24 00 26.60   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 24 00 2001 11 26 23 26.50   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 26 23 2001 11 30 22 26.10   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 11 30 22 2001 12 04 00 26.10  -0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 12 04 00 2001 12 07 23 26.70   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 12 07 23 2001 12 11 00 26.60   0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 12 11 00 2001 12 14 23 26.60  -0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 12 14 23 2001 12 17 23 26.30  -0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 12 17 23 2001 12 22 00 27.10   0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
