VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude,LocationAccuracy,SurveyID,EventID,SamplingEquipment,DataProvider,RecordType,Repository,SampleID
,,,,,,,,,,degrees_north,degrees_east,,,,,,,,
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Bank 66,1984,23.89333,-165.83333,>1000m,NA,M-273,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-273-s1-013
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Necker Island,1984,23.49167,-164.72333,>1000m,NA,M-278,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-278-s2-006a
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Bank 66,1984,23.88,-165.83,>1000m,NA,M-272,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-272-s1-008
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,5.7,NA,1984,53.23125,-167.98891,>1000m,198401,97,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; French Frigate Shoals,1984,23.82667,-166.38833,>1000m,NA,M-266,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-266-s1-014
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,5.1,NA,1984,53.27492,-167.13983,>1000m,198401,100,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
stony coral (branching),Eguchipsammia fistula,fistula,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Baby Brooks Bank,1984,23.95,-166.705,>1000m,NA,M-267,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-267-s2-007b
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-1.5,NA,1984,60.33716,-172.07775,>1000m,198401,139,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Necker Island,1984,23.49167,-164.72333,>1000m,NA,M-278,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-278-s1-009
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.54,-154.82167,>1000m,NA,M-227,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-227-s2-007a
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Baby Brooks Bank,1984,23.95,-166.705,>1000m,NA,M-267,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-267-s2-010
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Maunakea ledge",1984,19.9,-154.96667,>1000m,NA,M-215,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-215-s1-006a
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1984,21.15333,-157.54667,>1000m,NA,M-283,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-283-s1-008
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-0.7,NA,1984,60.99417,-173.49258,>1000m,198401,140,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
stony coral (cup coral),Flabellum (Flabellum) pavoninum,pavoninum,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Bank 66,1984,23.88,-165.83,>1000m,NA,M-272,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-272-s1-011a
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,3.3,NA,1984,57.33591,-172.70892,>1000m,198401,156,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; French Frigate Shoals,1984,23.91167,-166.245,>1000m,NA,M-271,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-271-s2-002a
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.53333,-154.81,>1000m,NA,M-229,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-229-s2-014a
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.53833,-154.81667,>1000m,NA,M-230,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-230-s1-012
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.54667,-154.81667,>1000m,NA,M-232,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-232-s1-008b
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.54667,-154.81667,>1000m,NA,M-232,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-232-s1-009c
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.54667,-154.81667,>1000m,NA,M-232,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-232-s1-013
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1984,57.74275,-151.2425,>1000m,198401,73,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.5,off Oregon,1984,45.20316,-124.35533,>1000m,198401,74,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,0.7,Alaska; Bering Sea,1984,58.00025,-167.17058,>1000m,198402,74,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,7.3,Alaska; Gulf of Alaska,1984,57.91734,-150.93417,>1000m,198401,74,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.2,off Oregon,1984,45.20334,-124.45925,>1000m,198401,75,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.1,Alaska; Gulf of Alaska,1984,54.67833,-161.63416,>1000m,198401,76,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.2,Alaska; Bering Sea,1984,58.66475,-167.21417,>1000m,198402,76,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.7,Alaska; Bering Sea,1984,57.65467,-162.60633,>1000m,198406,77,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.0,off Oregon,1984,45.19325,-124.933,>1000m,198401,79,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1984,57.57617,-150.93842,>1000m,198401,80,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.2,Alaska; Gulf of Alaska,1984,54.31267,-160.35242,>1000m,198401,80,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,0.3,Alaska; Bering Sea,1984,57.99741,-168.427,>1000m,198402,86,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,0.1,Alaska; Bering Sea,1984,59.66759,-168.6205,>1000m,198402,81,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1984,45.346,-124.45067,>1000m,198401,83,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1984,45.34542,-124.613,>1000m,198401,84,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.7,Alaska; Gulf of Alaska,1984,55.08825,-161.93275,>1000m,198401,84,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.4,Alaska; Bering Sea,1984,57.53408,-163.491,>1000m,198406,85,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1984,45.4965,-124.80334,>1000m,198401,87,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,0.1,Alaska; Bering Sea,1984,57.82725,-168.67883,>1000m,198402,87,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1984,45.49459,-124.7925,>1000m,198401,88,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,0.5,Alaska; Bering Sea,1984,57.67725,-168.39684,>1000m,198402,88,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.7,Alaska; Bering Sea,1984,57.49783,-168.656,>1000m,198402,89,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1984,45.50025,-124.542,>1000m,198401,90,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.4,Alaska; Bering Sea,1984,57.33017,-168.37933,>1000m,198402,90,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.5,Alaska; Bering Sea,1984,57.16866,-168.62875,>1000m,198402,91,trawl,"NOAA, Alaska Fisheries Science Center",catch record,"NOAA, Alaska Fisheries Science Center",NA
